IID_Bootstrap_Means,Block_Bootstrap_Means
14.743113388853299,14.149903907751442
13.638052530429212,15.798206278026905
15.23959000640615,13.522101217168482
14.70339525944907,15.37155669442665
14.447789878283151,15.771941063420885
14.637411915438822,13.907751441383729
14.704676489429852,16.089045483664318
15.385650224215247,14.201793721973095
14.31454196028187,14.5624599615631
14.690582959641256,14.582959641255606
14.62011531069827,12.952594490711082
14.73542600896861,14.0486867392697
14.422805893657912,14.499039077514414
14.527226137091608,15.576553491351698
14.272261370916079,15.721332479180013
14.426008968609866,13.987828315182576
14.590006406149904,14.508648302370275
14.877001921844972,12.822549647661756
15.238949391415758,14.540038436899424
15.20691864189622,13.803971812940423
14.832158872517617,13.597693786034593
14.62011531069827,15.561178731582318
13.6598334401025,13.263292761050609
14.409993593850096,16.721332479180013
14.650864830237028,14.731582319026264
14.155669442664959,14.103779628443306
14.720051249199232,15.597693786034593
14.654708520179373,15.474055092889174
15.573991031390134,13.93337604099936
14.09993593850096,13.079436258808457
14.93401665598975,15.767456758488148
15.155028827674567,13.64381806534273
14.804612427930813,14.582959641255606
13.975656630365151,14.3401665598975
14.386290839205637,15.766816143497758
15.1806534272902,13.502882767456759
14.659192825112108,13.81806534272902
15.294682895579756,12.679051889814222
14.408712363869315,13.733504163997438
14.16463805253043,15.844330557335041
14.00832799487508,14.093529788597053
14.944907110826394,13.832158872517617
14.777706598334401,14.740550928891736
15.085201793721973,13.386290839205637
14.81806534272902,15.447149263292761
14.765534913516976,14.443946188340806
15.317104420243433,12.978219090326714
14.622677770659834,13.616271620755926
14.566303651505445,15.249199231262011
14.811659192825113,14.538757206918643
14.808456117873158,13.393978219090327
14.930172966047406,14.320948110185778
14.802690582959642,15.170403587443946
15.021140294682896,14.627162075592569
15.166559897501601,13.286354900704676
15.331838565022421,14.03267136450993
14.10762331838565,13.890454836643178
14.60345932094811,15.506726457399104
14.996156310057655,15.7014734144779
14.30685458039718,14.915438821268417
14.304932735426009,15.250480461242793
14.66175528507367,15.955797565663037
14.69378603459321,15.162716207559257
15.717488789237668,15.027546444586804
15.496476617552851,13.878283151825753
14.758488148622678,16.27162075592569
14.61947469570788,16.039077514413837
14.374759769378603,14.672005124919924
14.205637411915438,15.66944266495836
14.770659833440103,13.696348494554773
14.675208199871877,14.709160794362589
14.443946188340806,13.865470852017937
14.188981422165279,14.439461883408072
14.039077514413837,14.01793721973094
15.419602818705958,13.907751441383729
14.684176809737348,14.327354260089686
14.93337604099936,13.810377962844331
14.480461242793082,15.014093529788598
15.545163356822549,14.740550928891736
14.319026265214607,13.434977578475337
14.64381806534273,13.361306854580397
14.531069827033953,15.268417680973736
14.72645739910314,13.1736066623959
14.083279948750802,15.864830237027546
14.932094811018578,12.723894939141577
14.527866752081998,14.937219730941704
14.790518898142217,14.356822549647662
14.795643818065344,13.819987187700193
15.482383087764253,14.165919282511211
14.4791800128123,12.830877642536835
14.039077514413837,15.805893657911595
14.319666880204997,13.433696348494555
14.894298526585523,15.774503523382448
14.771941063420885,14.299167200512493
14.021140294682896,12.405509288917361
15.725176169122358,13.707238949391416
13.910313901345292,16.369634849455476
14.68545803971813,14.072389493914157
14.653427290198591,14.59513132607303
14.911595131326074,14.084561178731583
14.941704035874439,14.8193465727098
14.541960281870596,15.018577834721333
15.3472133247918,13.616271620755926
14.336322869955158,13.369634849455478
15.105060858424087,14.076873798846893
14.600256245996157,13.531710442024343
14.30621396540679,13.360025624599615
14.415118513773223,13.565663036515055
14.024343369634849,15.759128763613068
14.44650864830237,13.327994875080076
14.33952594490711,15.493273542600896
13.928251121076233,14.442664958360025
14.670723894939142,13.556053811659194
14.812299807815503,14.810377962844331
14.42216527866752,14.816784112748238
15.073030108904549,14.152466367713005
14.192825112107624,13.74375400384369
15.174887892376681,14.605381165919283
14.079436258808457,14.10762331838565
14.69378603459321,16.129404228058938
14.888532991672005,15.01537475976938
14.894939141575913,14.608584240871236
14.69378603459321,14.484945547725816
14.606662395900065,14.010890454836643
15.108904548366432,13.575272261370916
15.30685458039718,13.853939782190903
15.047405509288918,14.73542600896861
14.342088404868674,14.77642536835362
15.204996796925048,16.054452274183216
15.303651505445227,14.112748238308777
14.606021780909673,15.217809096732864
14.353619474695709,13.275464445868034
15.350416399743754,14.831518257527225
14.484304932735427,14.980140935297886
14.549007046764894,13.313260730301089
14.668161434977579,13.282511210762332
15.023702754644459,13.755285073670724
14.333119795003203,13.530429212043561
14.027546444586804,13.32991672005125
13.981422165278667,14.709160794362589
14.61883408071749,14.221012171684817
15.294042280589366,15.135810377962844
14.849455477258168,13.932735426008968
14.233183856502242,14.411274823830878
14.68609865470852,14.030749519538757
15.566944266495836,13.646380525304291
14.458680333119794,14.342729019859064
14.19859064702114,15.377962844330558
14.378603459320948,14.712363869314542
14.805893657911595,16.685458039718128
14.32158872517617,12.743113388853299
14.609865470852018,14.254324151185138
14.754003843689942,15.235746316463805
15.193465727098014,13.9583600256246
14.128763613068546,15.498398462524023
13.997437540038437,15.543241511851377
15.673926969891095,13.978859705317104
14.532991672005124,12.883408071748878
14.443305573350417,13.558616271620757
14.496476617552851,15.055733504163998
14.31390134529148,15.813581037796284
15.061499039077514,16.79436258808456
15.008968609865471,14.684176809737348
14.754644458680334,13.815502882767456
14.422805893657912,14.993593850096092
15.199871877001922,13.902626521460602
15.192825112107624,13.099295323510571
14.616912235746316,13.130685458039718
14.626521460602179,14.935938500960923
14.746316463805252,15.707879564381807
15.374119154388213,14.331197950032031
15.078795643818065,13.612427930813581
15.146700832799487,15.186418962203716
14.63677130044843,14.780269058295964
15.102498398462524,14.284433055733505
14.201153106982703,15.359385009609225
14.661114670083279,13.789878283151825
